;Jan;Feb;Mrz;Apr;Mai;Jun;Jul;Aug;Sep;Okt;Nov;Dez
1939;;;;;;;;100;100;100;100;100
1940;100;100;100;100;99.8;99.8;99.8;99.8;99.8;99.8;99.8;99.8
1941;99.8;99.8;99.8;99.8;99.8;99.8;99.8;99.8;99.8;99.8;99.8;99.8
1942;99.8;99.8;99.8;99.8;100.1;100.1;100.1;100.1;100.1;100.1;100.1;100.1
1943;100.1;100.1;100.1;100.1;100.3;100.3;100.3;100.3;100.3;100.3;100.3;100.3
1944;100.3;100.3;100.3;100.3;101.2;101.2;101.2;101.2;101.2;101.2;101.2;101.2
1945;101.2;101.2;101.2;101.2;101.6;101.6;101.6;101.6;101.6;101.6;101.6;101.6
1946;101.6;101.6;101.6;101.6;102.3;102.3;102.3;102.3;102.3;102.3;102.3;102.3
1947;102.3;102.3;102.3;102.3;103.3;103.3;103.3;103.3;103.3;103.3;103.3;103.3
1948;103.3;103.3;103.3;103.3;104.8;104.8;104.8;104.8;104.8;104.8;104.8;104.8
1949;104.8;104.8;104.8;104.8;106.9;106.9;106.9;106.9;106.9;106.9;106.9;106.9
1950;106.9;106.9;106.9;106.9;108.8;108.8;108.8;108.8;108.8;108.8;108.8;108.8
1951;108.8;108.8;108.8;108.8;113.4;113.4;113.4;113.4;113.4;113.4;116.8;116.8
1952;116.8;116.8;116.8;116.8;118.7;118.7;118.7;118.7;118.7;118.7;118.7;118.7
1953;118.7;118.7;118.7;118.7;120.8;120.8;120.8;120.8;120.8;120.8;120.8;120.8
1954;120.8;120.8;120.8;120.8;123;123;123;123;123;123;124.8;124.8
1955;124.8;124.8;124.8;124.8;127.8;127.8;127.8;127.8;127.8;127.8;127.8;127.8
1956;127.8;127.8;127.8;127.8;131;131;131;131;131;131;131;131
1957;131;131;131;131;134.1;134.1;134.1;134.1;134.1;134.1;134.1;134.1
1958;134.1;134.1;134.1;134.1;141.1;141.1;141.1;141.1;141.1;141.1;141.1;141.1
1959;141.1;141.1;141.1;141.1;145.5;145.5;145.5;145.5;145.5;145.5;145.5;145.5
1960;145.5;145.5;145.5;145.5;148.8;148.8;148.8;148.8;148.8;148.8;148.8;148.8
1961;148.8;148.8;148.8;148.8;153.3;153.3;153.3;153.3;153.3;153.3;157.4;157.4
1962;157.4;157.4;157.4;157.4;161.4;161.4;161.4;161.4;161.4;161.4;161.4;161.4
1963;161.4;161.4;161.4;161.4;168.2;168.2;168.2;168.2;168.2;168.2;173.1;173.1
1964;173.1;173.1;173.1;173.1;179.3;179.3;179.3;179.3;179.3;179.3;179.3;179.3
1965;179.3;179.3;179.3;179.3;190.8;190.8;190.8;190.8;190.8;190.8;190.8;190.8
1966;190.8;190.8;190.8;190.8;206.1;206.1;206.1;206.1;206.1;206.1;213.5;213.5
1967;213.5;213.5;213.5;213.5;223.8;223.8;223.8;223.8;223.8;223.8;230.8;230.8
1968;230.8;230.8;230.8;230.8;239.9;239.9;239.9;239.9;239.9;239.9;246.3;246.3
1969;246.3;246.3;246.3;246.3;254.9;254.9;254.9;254.9;254.9;254.9;261.3;261.3
1970;261.3;261.3;261.3;261.3;271.2;271.2;271.2;271.2;271.2;271.2;281.3;281.3
1971;281.3;281.3;281.3;281.3;295.1;295.1;295.1;295.1;295.1;295.1;307.9;307.9
