Q1;Q2;Q3;Q4
;100;100.4;99.7
100.6;99.3;99.6;99.8
100;100.9;101.5;101.8
101.9;102.1;102.5;102.7
103;102.6;102.8;102.7
102.9;102.7;102.9;102.8
103.2;103.4;104.1;103.8
104.4;104.9;105.3;106.9
107.5;108.2;108.4;108.8
109;109.2;109.3;109.4
109.3;109.4;109.7;109.7
110.1;110.4;111.4;112
112.1;112.1;112.5;113.1
114.1;114.6;115.1;115.6
116.7;117.5;117.5;118
118.8;120.2;120.9;121.6
122.9;123.3;123.2;123.4
124.3;124.5;124.3;125.1
126.3;126;126.1;126.5
127.2;126.9;126.8;126.5
126.8;127.3;127.9;128.2
128.5;128.6;129.4;129.6
129.8;130.2;130.3;129.7
130;130.2;130.4;131.1
131.3;131.9;132.4;132.3
132.5;;;
